gs,edge,mid,lim,n_pres,n_subplots,slope_southness,slope_cwd,slope,p_southness,p_cwd
Acer macrophyllum,high,637.8568603515627,1018.3193969726562,366,95048,-1.8992945257700833,-0.008496325640377233,-0.004473411324624512,1.4949198443589943e-11,4.1843334744968855e-32
Acer macrophyllum,low,288.38103637695315,65.35224151611328,366,22942,0.4618131216228575,0.009421731147095136,-0.02040160988493837,0.04126689079804661,4.030073000170968e-14
Aesculus californica,high,1003.2241821289062,1133.16162109375,24,5079,-5.109195119854446,-0.005170244428010783,-0.0010119489091186004,1.715279920151406e-5,0.13805323258861027
Aesculus californica,low,602.78466796875,466.27197265625,23,150243,0.4434976686126383,0.017425720106516017,-0.039291570936613125,0.6618196345640291,1.2310638388148048e-5
Arbutus menziesii,high,701.55645751953125,925.52679443359375,430,70153,-1.387632695462275,-0.017811317684050768,-0.01283575815292902,1.1295181918817336e-7,4.566047873215772e-61
Arbutus menziesii,low,403.3390258789063,194.74232482910156,431,60333,1.4962372634180865,0.005784793428196198,-0.003866227348850475,7.75312244189083e-12,4.662337056689565e-14
Pseudotsuga menziesii,high,633.16412353515625,1011.8893432617187,8504,96998,-1.9785890089986122,-0.013890349838584488,-0.0070203310416722476,1.1814719525295605e-201,0
Pseudotsuga menziesii,low,266.4483642578125,27.88601303100586,8506,17921,0.49814952324644435,0.004578311834533685,-0.00919063779223714,6.0812270912374776e-15,3.4682017006146554e-56
Notholithocarpus densiflorus,high,610.6586181640625,887.27001953125,456,106319,-0.9109805158259817,-0.008892363584718031,-0.009761310401524195,2.4899212769769955e-4,3.5719130809713127e-44
Notholithocarpus densiflorus,low,296.3337097167969,183.3474578857422,450,25024,0.6857741252201592,0.014677960305190503,-0.021403490982513124,9.575788351691124e-4,1.0457077946371795e-29
Quercus agrifolia,high,902.9659423828125,1055.29541015625,108,15572,-2.846897385929437,-0.005350587108878137,-0.0018794450180477126,1.505912637881497e-7,7.140212504928437e-4
Quercus agrifolia,low,577.90283203125,439.95904541015625,108,138978,1.3031152260991465,0.02165456960946945,-0.01661754016511037,0.005047159342581304,2.7494032533486743e-22
Quercus douglasii,high,1032.3114013671875,1212.90576171875,229,3751,-1.5682750587941168,-0.010900418578872919,-0.006950578291575015,3.148521723777302e-4,1.7197385882267133e-15
Quercus douglasii,low,791.98199462890625,509.30889892578125,228,219189,1.2653621016896157,0.01886221665640645,-0.01490657625293192,3.89744866748419e-4,3.2466823614528755e-60
Quercus garryana,high,785.28338623046875,965.08056640625,208,43259,-0.6918982493002112,-0.021311194112526292,-0.03080105222708762,0.07928274395506116,4.85772608239582e-27
Quercus garryana,low,475.52613830566406,204.91357421875,208,91677,1.2680016876904558,0.02147750682225135,-0.01693807431863169,8.292185871025794e-5,2.537066508710416e-34
Quercus kelloggii,high,822.1582092285157,1072.2589111328125,499,32454,-1.7609010404335241,-0.015308793494396233,-0.008693727326452879,6.425294735246541e-12,6.608635686311706e-45
Quercus kelloggii,low,581.9833984375,376.17022705078125,496,140952,2.7701344174711426,0.02231273781279856,-0.008054749138551866,1.5137563914688288e-35,4.150155212473392e-99
Quercus lobata,high,984.31158447265625,1103.7734375,32,6246,0.5613209782633093,-0.008753714503380458,0.015594846518054399,0.6033649187240873,0.008362507662376485
Quercus lobata,low,612.0399169921875,442.5622863769531,32,154324,0.6326936457141005,0.017141283254021297,-0.027092548455539642,0.46376879171011626,2.072767089131092e-7
Sequoia sempervirens,high,583.47607421875,837.801025390625,180,118403,-0.09637010721271598,-0.01640882060117084,-0.17026878018255132,0.8015437511589077,4.321304718575848e-30
Sequoia sempervirens,low,382.26435241699215,250.3021240234375,186,52023,0.5575490709926876,0.01632389978282013,-0.029277960689193264,0.09210872391861404,3.220040047502514e-20
Umbellularia californica,high,815.31585693359375,1046.23779296875,119,34248,-1.8196085749797692,-0.01308118434197753,-0.007189010055155939,4.254238119986959e-4,1.1607179671867968e-10
Umbellularia californica,low,319.7264099121094,192.98764038085937,120,31487,0.8113463453268374,0.012947353398847219,-0.015957862475650387,0.04224503516529112,1.090721757040458e-8
