Hyp.name,Sci.name,Common.name,Genus,species,Plot.abb
Shrubland,Adenostoma fasciculatum,Chamise,Adenostoma,fasciculatum,Af
Maple,Acer macrophyllum,Big leaf maplle,Acer,macrophyllum,Am
Buckeye,Aesculus californica,California buckeye,Aesculus,californica,Ac
Madrone,Arbutus menziesii,Madrone,Arbutus,menziesii,Az
Tanoak,Notholithocarpus densiflorus,Tanoak,Notholithocarpus,densiflorus,Nd
Doug.fir,Pseudotsuga menziesii,Douglas fir,Pseudotsuga,menziesii,Pm
Coast.live.oak,Quercus agrifolia,Coast live oak,Quercus,agrifolia,Qa
Blue.oak,Quercus douglasii,Blue oak,Quercus,douglasii,Qd
Oregon.oak,Quercus garryana,Oregon oak,Quercus,garryana,Qg
Black.oak,Quercus kelloggii,Black oak,Quercus,kelloggii,Qk
Valley.oak,Quercus lobata,Valley oak,Quercus,lobata,Ql
Redwood,Sequoia sempervirens,Redood,Sequoia,sempervirens,Ss
Bay,Umbellularia california,California bay,Umbellularia,california,Uc
