scenario,cell,cwd,aet,tminmin,ppt,djf,jja
2061-2080_rcp45_CanESM2,1,838.295166015625,414.7525939941406,7.400000095367432,3.0199466816788423,7.900000095367432,30.649999618530273
2061-2080_rcp45_CanESM2,2,766.26947021484375,450.57861328125,6.599999904632568,3.1166077439882485,7.066666603088379,29.600000381469727
2061-2080_rcp45_CanESM2,3,807.88677978515625,426.1732482910156,7,3.0663259253620376,7.4666666984558105,30.100000381469727
2061-2080_rcp45_CanESM2,4,835.73876953125,409.2309265136719,7.300000190734863,3.0261245167454502,7.766666889190674,30.399999618530273
2061-2080_rcp45_CanESM2,5,749.14971923828125,471.27447509765625,7,3.1408221801093106,7.4666666984558105,29.799999237060547
2061-2080_rcp45_CanESM2,6,746.875,469.4260559082031,6.699999809265137,3.1464381352857744,7.166666507720947,29.600000381469727
2061-2080_rcp45_CanESM2,7,761.45867919921875,458.59100341796875,6.699999809265137,3.1261314072619846,7.199999809265137,29.700000762939453
2061-2080_rcp45_CanESM2,8,796.64593505859375,433.5737609863281,7,3.0788191830988487,7.433333396911621,30
2061-2080_rcp45_CanESM2,9,826.75067138671875,417.3830871582031,7.300000190734863,3.03382569395331,7.800000190734863,30.399999618530273
2061-2080_rcp45_CanESM2,10,833.56378173828125,404.909912109375,7,3.0145205387579237,7.5,30.200000762939453
2061-2080_rcp45_CanESM2,11,794.241455078125,445.37762451171875,7.800000190734863,3.0788191830988487,8.266666412353516,30.399999618530273
2061-2080_rcp45_CanESM2,12,779.93536376953125,457.58428955078125,7.699999809265137,3.092018470752797,8.166666984558105,30.399999618530273
2061-2080_rcp45_CanESM2,13,765.97406005859375,468.6341247558594,7.5,3.1099158630237933,7.9666666984558105,30.25
2061-2080_rcp45_CanESM2,14,760.36614990234375,470.6044616699219,7.300000190734863,3.121887985103681,7.733333110809326,30.100000381469727
2061-2080_rcp45_CanESM2,15,759.8253173828125,465.8739318847656,7,3.12057393120585,7.4666666984558105,29.899999618530273
2061-2080_rcp45_CanESM2,16,786.4912109375,444.67071533203125,7.099999904632568,3.092018470752797,7.566666603088379,30.049999237060547
2061-2080_rcp45_CanESM2,17,814.46600341796875,425.902099609375,7.199999809265137,3.0511525224473814,7.699999809265137,30.299999237060547
2061-2080_rcp45_CanESM2,18,831.069580078125,413.3487854003906,7.300000190734863,3.0261245167454502,7.766666889190674,30.399999618530273
2061-2080_rcp45_CanESM2,19,827.84228515625,413.8914794921875,7.199999809265137,3.02201573981772,7.666666507720947,30.299999237060547
2061-2080_rcp45_CanESM2,20,790.46282958984375,436.2973937988281,7.599999904632568,3.0791812460476247,8.066666603088379,30.100000381469727
