species,cell,scenario,delta
Acer macrophyllum,1,2061-2080_rcp45_CanESM2,-0.5573724061250687
Acer macrophyllum,2,2061-2080_rcp45_CanESM2,-0.5355829894542694
Acer macrophyllum,3,2061-2080_rcp45_CanESM2,-0.5339966416358948
Acer macrophyllum,4,2061-2080_rcp45_CanESM2,-0.46302592754364014
Acer macrophyllum,5,2061-2080_rcp45_CanESM2,-0.28469783067703247
Acer macrophyllum,6,2061-2080_rcp45_CanESM2,-0.2540886402130127
Acer macrophyllum,7,2061-2080_rcp45_CanESM2,-0.40171319246292114
Acer macrophyllum,8,2061-2080_rcp45_CanESM2,-0.4796575456857681
Acer macrophyllum,9,2061-2080_rcp45_CanESM2,-0.27913838624954224
Acer macrophyllum,10,2061-2080_rcp45_CanESM2,-0.17090481519699097
Acer macrophyllum,11,2061-2080_rcp45_CanESM2,-0.26960909366607666
Acer macrophyllum,12,2061-2080_rcp45_CanESM2,-0.4137619733810425
Acer macrophyllum,13,2061-2080_rcp45_CanESM2,-0.49725428223609924
Acer macrophyllum,14,2061-2080_rcp45_CanESM2,-0.45283427834510803
Acer macrophyllum,15,2061-2080_rcp45_CanESM2,-0.4495839476585388
Acer macrophyllum,16,2061-2080_rcp45_CanESM2,-0.4020341634750366
Acer macrophyllum,17,2061-2080_rcp45_CanESM2,-0.35037779808044434
Acer macrophyllum,18,2061-2080_rcp45_CanESM2,-0.3843507766723633
Acer macrophyllum,19,2061-2080_rcp45_CanESM2,-0.34323814511299133
Acer macrophyllum,1,2061-2080_rcp45_CNRM-CM5,-0.5020863860845566
Acer macrophyllum,2,2061-2080_rcp45_CNRM-CM5,-0.463252991437912
Acer macrophyllum,3,2061-2080_rcp45_CNRM-CM5,-0.4570789933204651
Acer macrophyllum,4,2061-2080_rcp45_CNRM-CM5,-0.3946011960506439
Acer macrophyllum,5,2061-2080_rcp45_CNRM-CM5,-0.2792179584503174
Acer macrophyllum,6,2061-2080_rcp45_CNRM-CM5,-0.24229878187179565
Acer macrophyllum,7,2061-2080_rcp45_CNRM-CM5,-0.35256823897361755
Acer macrophyllum,8,2061-2080_rcp45_CNRM-CM5,-0.40969911217689514
Acer macrophyllum,9,2061-2080_rcp45_CNRM-CM5,-0.25612151622772217
Acer macrophyllum,10,2061-2080_rcp45_CNRM-CM5,-0.20232611894607544
Acer macrophyllum,11,2061-2080_rcp45_CNRM-CM5,-0.2886151075363159
Acer macrophyllum,12,2061-2080_rcp45_CNRM-CM5,-0.3646959066390991
Acer macrophyllum,13,2061-2080_rcp45_CNRM-CM5,-0.43512097001075745
Acer macrophyllum,14,2061-2080_rcp45_CNRM-CM5,-0.39930930733680725
Acer macrophyllum,15,2061-2080_rcp45_CNRM-CM5,-0.39803221821784973
Acer macrophyllum,16,2061-2080_rcp45_CNRM-CM5,-0.3641529381275177
Acer macrophyllum,17,2061-2080_rcp45_CNRM-CM5,-0.3592725098133087
Acer macrophyllum,18,2061-2080_rcp45_CNRM-CM5,-0.34021154046058655
Acer macrophyllum,19,2061-2080_rcp45_CNRM-CM5,-0.32024115324020386
Acer macrophyllum,1,2061-2080_rcp45_HadGEM2-ES,-0.5796927213668823
Acer macrophyllum,2,2061-2080_rcp45_HadGEM2-ES,-0.5521773546934128
Acer macrophyllum,3,2061-2080_rcp45_HadGEM2-ES,-0.5567544102668762
Acer macrophyllum,4,2061-2080_rcp45_HadGEM2-ES,-0.49537476897239685
Acer macrophyllum,5,2061-2080_rcp45_HadGEM2-ES,-0.34609735012054443
Acer macrophyllum,6,2061-2080_rcp45_HadGEM2-ES,-0.3157830834388733
Acer macrophyllum,7,2061-2080_rcp45_HadGEM2-ES,-0.4511848986148834
Acer macrophyllum,8,2061-2080_rcp45_HadGEM2-ES,-0.4921320676803589
Acer macrophyllum,9,2061-2080_rcp45_HadGEM2-ES,-0.34658074378967285
Acer macrophyllum,10,2061-2080_rcp45_HadGEM2-ES,-0.2415074110031128
Acer macrophyllum,11,2061-2080_rcp45_HadGEM2-ES,-0.34205755591392517
Acer macrophyllum,12,2061-2080_rcp45_HadGEM2-ES,-0.4534226208925247
Acer macrophyllum,13,2061-2080_rcp45_HadGEM2-ES,-0.5266959369182587
Acer macrophyllum,14,2061-2080_rcp45_HadGEM2-ES,-0.4950055181980133
